corner,type,slack_ns,from,to
"Slow 1100mV 100C Model",setup,0.138,"ascal:ascal|o_hcpt[2]","ascal:ascal|o_vcpt_pre2[3]"
"Slow 1100mV 100C Model",hold,0.250,"emu:emu|drmicro_core:board|drmicro_sound:sound|drmicro_adpcm_ctrl:ctrl|position[2]","emu:emu|drmicro_core:board|drmicro_sound:sound|drmicro_adpcm_ctrl:ctrl|position[2]"
"Slow 1100mV 100C Model",recovery,4.048,"ascal:ascal|o_reset_na","ascal:ascal|o_state.sWAITREAD"
"Slow 1100mV 100C Model",removal,0.889,"ascal:ascal|o_reset_na","ascal:ascal|o_copy.sCOPY"
"Slow 1100mV -40C Model",setup,0.085,"ascal:ascal|o_hcpt[2]","ascal:ascal|o_vcpt_pre2[5]"
"Slow 1100mV -40C Model",hold,0.118,"ascal:ascal|o_poly_phase_b.t0[0]","ascal:ascal|o_poly_phase_b2.t0[0]"
"Slow 1100mV -40C Model",recovery,4.149,"ascal:ascal|o_reset_na","ascal:ascal|o_state.sWAITREAD"
"Slow 1100mV -40C Model",removal,0.869,"ascal:ascal|o_reset_na","ascal:ascal|o_copy.sCOPY"
"Fast 1100mV 100C Model",setup,3.285,"ascal:ascal|o_v_poly_use_adaptive","ascal:ascal|o_h_poly_phase.t3[11]~_Duplicate_1"
"Fast 1100mV 100C Model",hold,0.134,"emu:emu|drmicro_core:board|drmicro_sound:sound|drmicro_adpcm_ctrl:ctrl|position[2]","emu:emu|drmicro_core:board|drmicro_sound:sound|drmicro_adpcm_ctrl:ctrl|position[2]"
"Fast 1100mV 100C Model",recovery,5.237,"ascal:ascal|o_reset_na","ascal:ascal|o_state.sWAITREAD~DUPLICATE"
"Fast 1100mV 100C Model",removal,0.429,"ascal:ascal|o_reset_na","ascal:ascal|o_copy.sCOPY"
"Fast 1100mV -40C Model",setup,3.656,"ascal:ascal|altsyncram:o_line3[0].r[7]__5|altsyncram_ccn1:auto_generated|ram_block1a4~PORT_B_WRITE_ENABLE_REG","ascal:ascal|o_vpix_inner[0].r[1]"
"Fast 1100mV -40C Model",hold,0.086,"ascal:ascal|o_vpixq_pre[1].g[4]","ascal:ascal|o_vpixq[1].g[4]"
"Fast 1100mV -40C Model",recovery,5.461,"ascal:ascal|o_reset_na","ascal:ascal|o_state.sWAITREAD~DUPLICATE"
"Fast 1100mV -40C Model",removal,0.370,"ascal:ascal|o_reset_na","ascal:ascal|o_copy.sCOPY"
